mmsi,name,year,gaps,flags,either_endpoint_inside_eez
440191000,AGNES5,2019,58,KOR,0
440191000,AGNES5,2020,27,KOR,0
440191000,AGNES5,2021,3,KOR,0
440191000,AGNES5,2024,1,KOR,0
412440452,FU YUAN YU7880,2017,8,CHN,0
412440452,FU YUAN YU7880,2018,2,CHN,0
412440452,FU YUAN YU7880,2019,1,CHN,0
412440452,FU YUAN YU7880,2023,1,CHN,1
441050000,COSECHA,2017,34,KOR,2
441050000,COSECHA,2018,53,KOR,0
441050000,COSECHA,2019,78,KOR,0
441050000,COSECHA,2020,26,KOR,0
441050000,COSECHA,2021,1,KOR,0
441050000,COSECHA,2022,1,KOR,0
412329691,LU QING-YUAN YU 209,2017,55,CHN,0
412329691,LU QING-YUAN YU 209,2018,91,CHN,0
412329691,LU QING-YUAN YU 209,2019,129,CHN,0
412329691,LU QING-YUAN YU 209,2020,10,CHN,0
412329691,LU QING-YUAN YU 209,2021,5,CHN,0
412329691,LU QING-YUAN YU 209,2022,2,CHN,0
412329691,LU QING-YUAN YU 209,2023,1,CHN,0
412329685,LU QING YUAN YU 202,2017,70,CHN,0
412329685,LU QING YUAN YU 202,2018,66,CHN,0
412329685,LU QING YUAN YU 202,2019,41,CHN,0
412329685,LU QING YUAN YU 202,2020,7,CHN,0
412329686,LU QING YUAN YU 205,2017,65,CHN,0
412329686,LU QING YUAN YU 205,2018,66,CHN,1
412329686,LU QING YUAN YU 205,2019,129,CHN,0
412329686,LU QING YUAN YU 205,2020,16,CHN,0
412329686,LU QING YUAN YU 205,2023,1,CHN,0
412329693,LU QING YUAN YU 211,2017,74,CHN,0
412329693,LU QING YUAN YU 211,2018,61,CHN,0
412329693,LU QING YUAN YU 211,2019,108,CHN,0
412329693,LU QING YUAN YU 211,2020,19,CHN,0
224388201,,2017,13,ESP,0
412326889,YONG XING 1,2017,21,CHN,0
412326889,YONG XING 1,2018,2,CHN,0
412326889,YONG XING 1,2019,6,CHN,0
412326889,YONG XING 1,2020,1,CHN,0
412328786,WEIYU16,2017,5,CHN,0
412328786,WEIYU16,2018,18,CHN,0
412328786,WEIYU16,2019,13,CHN,0
412331034,LUYANYUANYU006,2017,17,CHN,0
412331034,LUYANYUANYU006,2024,1,CHN,0
412328764,HAIYANG 6,2017,6,CHN,0
412328764,HAIYANG 6,2018,13,CHN,0
412328764,HAIYANG 6,2019,13,CHN,0
412328764,HAIYANG 6,2020,1,CHN,0
412328764,HAIYANG 6,2021,1,CHN,0
412328764,HAIYANG 6,2022,1,CHN,0
412328764,HAIYANG 6,2023,5,CHN,0
412328764,HAIYANG 6,2024,4,CHN,0
412331089,JING YUAN 626,2017,2,CHN,0
412331089,JING YUAN 626,2018,2,CHN,0
412329694,LU QING YUAN YU 212,2017,49,CHN,0
412329694,LU QING YUAN YU 212,2018,73,CHN,0
412329694,LU QING YUAN YU 212,2019,92,CHN,0
412329694,LU QING YUAN YU 212,2020,14,CHN,0
412329694,LU QING YUAN YU 212,2021,1,CHN,0
412329692,LU QING YUAN YU 210,2017,44,CHN,0
412329692,LU QING YUAN YU 210,2018,39,CHN,0
412329692,LU QING YUAN YU 210,2019,12,CHN,0
412329692,LU QING YUAN YU 210,2020,14,CHN,0
412329692,LU QING YUAN YU 210,2021,3,CHN,0
224004000,PLAYA DA CATIVA,2017,26,ESP,0
224004000,PLAYA DA CATIVA,2018,27,ESP,0
224004000,PLAYA DA CATIVA,2019,23,ESP,0
224004000,PLAYA DA CATIVA,2020,44,ESP,1
224004000,PLAYA DA CATIVA,2021,25,ESP,0
224004000,PLAYA DA CATIVA,2022,24,ESP,0
224004000,PLAYA DA CATIVA,2023,50,ESP,0
224004000,PLAYA DA CATIVA,2024,29,ESP,0
224004000,PLAYA DA CATIVA,2025,26,ESP,0
224004000,PLAYA DA CATIVA,2026,44,ESP,0
412331068,LURONGYUANYU802,2017,3,CHN,0
